cluster,id_texto,sil_texto
0,1,-1.0
0,2,-1.0
0,10,-1.0
0,16,-1.0
0,25,-1.0
0,42,-1.0
0,58,-1.0
0,65,-1.0
0,70,-1.0
0,77,-1.0
0,80,-1.0
0,92,-1.0
0,93,-1.0
0,100,-1.0
0,112,-1.0
0,120,-1.0
0,125,-1.0
0,130,-1.0
0,132,-1.0
0,143,-1.0
0,145,-1.0
0,146,-1.0
0,147,-1.0
0,154,-1.0
0,161,-1.0
0,164,-1.0
0,167,-1.0
0,168,-1.0
0,170,-1.0
0,175,-1.0
0,176,-1.0
0,179,-1.0
0,180,-1.0
0,184,-1.0
0,186,-1.0
0,188,-1.0
0,189,-1.0
0,194,-1.0
0,201,-1.0
0,204,-1.0
0,211,-1.0
0,212,-1.0
0,225,-1.0
0,226,-1.0
0,228,-1.0
0,229,-1.0
0,231,-1.0
0,237,-1.0
0,241,-1.0
0,245,-1.0
0,253,-1.0
0,262,-1.0
0,268,-1.0
0,270,-1.0
0,275,-1.0
0,277,-1.0
0,285,-1.0
0,287,-1.0
0,288,-1.0
0,289,-1.0
0,294,-1.0
0,303,-1.0
0,304,-1.0
0,311,-1.0
0,317,-1.0
0,318,-1.0
0,322,-1.0
0,332,-1.0
0,333,-1.0
0,345,-1.0
0,346,-1.0
0,348,-1.0
0,357,-1.0
0,362,-1.0
0,367,-1.0
0,368,-1.0
0,369,-1.0
0,372,-1.0
0,377,-1.0
0,378,-1.0
0,379,-1.0
0,411,-1.0
0,412,-1.0
0,414,-1.0
0,423,-1.0
0,425,-1.0
0,427,-1.0
0,446,-1.0
0,448,-1.0
0,460,-1.0
0,479,-1.0
0,481,-1.0
0,487,-1.0
0,493,-1.0
0,498,-1.0
0,504,-1.0
0,506,-1.0
0,511,-1.0
0,520,-1.0
0,536,-1.0
0,552,-1.0
0,555,-1.0
0,558,-1.0
0,560,-1.0
0,569,-1.0
0,574,-1.0
0,578,-1.0
0,588,-1.0
0,604,-1.0
0,605,-1.0
0,606,-1.0
0,611,-1.0
0,613,-1.0
0,617,-1.0
0,622,-1.0
0,631,-1.0
0,632,-1.0
0,633,-1.0
0,636,-1.0
0,637,-1.0
0,640,-1.0
0,647,-1.0
0,651,-1.0
0,655,-1.0
0,658,-1.0
0,662,-1.0
0,670,-1.0
0,671,-1.0
0,675,-1.0
0,680,-1.0
0,681,-1.0
0,683,-1.0
0,692,-1.0
0,699,-1.0
0,702,-1.0
0,703,-1.0
0,715,-1.0
0,745,-1.0
0,746,-1.0
0,747,-1.0
0,750,-1.0
0,753,-1.0
0,757,-1.0
0,761,-1.0
0,766,-1.0
0,768,-1.0
0,785,-1.0
0,798,-1.0
0,800,-1.0
0,803,-1.0
0,805,-1.0
0,807,-1.0
0,810,-1.0
0,813,-1.0
0,814,-1.0
0,818,-1.0
0,823,-1.0
0,824,-1.0
0,825,-1.0
0,846,-1.0
0,852,-1.0
0,854,-1.0
0,863,-1.0
0,864,-1.0
0,870,-1.0
0,888,-1.0
0,895,-1.0
0,898,-1.0
0,899,-1.0
0,906,-1.0
0,912,-1.0
0,917,-1.0
0,918,-1.0
0,925,-1.0
0,931,-1.0
0,933,-1.0
0,936,-1.0
0,939,-1.0
0,946,-1.0
0,947,-1.0
0,952,-1.0
0,955,-1.0
0,956,-1.0
0,965,-1.0
0,970,-1.0
0,975,-1.0
0,979,-1.0
0,995,-1.0
0,1006,-1.0
0,1012,-1.0
0,1022,-1.0
0,1026,-1.0
0,1031,-1.0
0,1035,-1.0
0,1037,-1.0
0,1039,-1.0
0,1042,-1.0
0,1048,-1.0
0,1050,-1.0
0,1052,-1.0
0,1067,-1.0
0,1068,-1.0
0,1070,-1.0
0,1073,-1.0
0,1079,-1.0
0,1094,-1.0
0,1098,-1.0
0,1108,-1.0
0,1111,-1.0
0,1120,-1.0
0,1124,-1.0
0,1134,-1.0
0,1142,-1.0
0,1144,-1.0
0,1149,-1.0
0,1159,-1.0
0,1167,-1.0
0,1168,-1.0
0,1174,-1.0
0,1181,-1.0
0,1199,-1.0
0,1201,-1.0
0,1203,-1.0
0,1205,-1.0
0,1206,-1.0
0,1210,-1.0
0,1212,-1.0
0,1214,-1.0
0,1219,-1.0
0,1224,-1.0
0,1227,-1.0
0,1231,-1.0
0,1245,-1.0
0,1251,-1.0
0,1254,-1.0
0,1261,-1.0
0,1269,-1.0
0,1279,-1.0
0,1284,-1.0
0,1296,-1.0
0,1309,-1.0
0,1327,-1.0
0,1329,-1.0
0,1330,-1.0
0,1333,-1.0
0,1336,-1.0
0,1348,-1.0
0,1354,-1.0
0,1359,-1.0
0,1361,-1.0
0,1362,-1.0
0,1376,-1.0
0,1377,-1.0
0,1388,-1.0
0,1393,-1.0
0,1398,-1.0
0,1406,-1.0
0,1409,-1.0
0,1413,-1.0
0,1417,-1.0
0,1422,-1.0
0,1424,-1.0
0,1428,-1.0
0,1430,-1.0
0,1446,-1.0
0,1449,-1.0
0,1452,-1.0
0,1457,-1.0
0,1472,-1.0
0,1474,-1.0
0,1484,-1.0
0,1490,-1.0
0,1491,-1.0
0,1498,-1.0
0,1500,-1.0
0,1508,-1.0
0,1509,-1.0
0,1511,-1.0
0,1513,-1.0
0,1519,-1.0
0,1529,-1.0
0,1532,-1.0
0,1547,-1.0
0,1550,-1.0
0,1551,-1.0
0,1556,-1.0
0,1559,-1.0
0,1571,-1.0
0,1572,-1.0
0,1578,-1.0
0,1591,-1.0
0,1597,-1.0
0,1605,-1.0
0,1608,-1.0
0,1613,-1.0
0,1615,-1.0
0,1620,-1.0
0,1623,-1.0
0,1624,-1.0
0,1627,-1.0
0,1649,-1.0
0,1650,-1.0
0,1656,-1.0
0,1657,-1.0
0,1659,-1.0
0,1662,-1.0
0,1669,-1.0
0,1675,-1.0
0,1688,-1.0
0,1689,-1.0
0,1705,-1.0
0,1714,-1.0
0,1718,-1.0
0,1721,-1.0
0,1735,-1.0
0,1737,-1.0
0,1747,-1.0
0,1754,-1.0
0,1761,-1.0
0,1771,-1.0
0,1772,-1.0
0,1776,-1.0
0,1782,-1.0
0,1784,-1.0
0,1788,-1.0
0,1789,-1.0
0,1791,-1.0
0,1795,-1.0
0,1803,-1.0
0,1804,-1.0
0,1806,-1.0
0,1807,-1.0
0,1809,-1.0
0,1813,-1.0
0,1821,-1.0
0,1827,-1.0
0,1844,-1.0
0,1847,-1.0
0,1850,-1.0
0,1856,-1.0
0,1860,-1.0
0,1863,-1.0
0,1864,-1.0
0,1866,-1.0
0,1869,-1.0
0,1881,-1.0
0,1885,-1.0
0,1887,-1.0
0,1888,-1.0
0,1896,-1.0
0,1902,-1.0
0,1903,-1.0
0,1909,-1.0
0,1910,-1.0
0,1915,-1.0
0,1919,-1.0
0,1922,-1.0
0,1923,-1.0
0,1929,-1.0
0,1931,-1.0
0,1935,-1.0
0,1944,-1.0
0,1950,-1.0
0,1957,-1.0
0,1961,-1.0
0,1963,-1.0
0,1966,-1.0
0,1971,-1.0
0,1973,-1.0
0,1992,-1.0
0,2004,-1.0
0,2009,-1.0
0,2020,-1.0
0,2034,-1.0
0,2048,-1.0
0,2050,-1.0
0,2053,-1.0
0,2054,-1.0
0,2063,-1.0
0,2067,-1.0
0,2069,-1.0
0,2070,-1.0
0,2071,-1.0
0,2075,-1.0
0,2087,-1.0
0,2090,-1.0
0,2093,-1.0
0,2094,-1.0
0,2095,-1.0
0,2097,-1.0
0,2100,-1.0
0,2109,-1.0
0,2110,-1.0
0,2114,-1.0
0,2117,-1.0
0,2120,-1.0
0,2122,-1.0
0,2125,-1.0
0,2138,-1.0
0,2150,-1.0
0,2153,-1.0
0,2164,-1.0
0,2167,-1.0
0,2173,-1.0
0,2181,-1.0
0,2188,-1.0
0,2196,-1.0
0,2197,-1.0
0,2209,-1.0
0,2216,-1.0
0,2224,-1.0
0,2238,-1.0
0,2255,-1.0
0,2266,-1.0
0,2267,-1.0
0,2268,-1.0
0,2269,-1.0
0,2270,-1.0
0,2275,-1.0
